Especie,Tratamiento,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15
V. farnesiana,C,6,5.5,6.5,7,9,10.5,13,15,15.5,16,16,16,19,19,19.5
V. farnesiana,C,4,7,9.5,12,16,21,27,32.5,37.5,42,45,45,45.5,46,59
V. farnesiana,C,4,4,,,,,,,,,,,,,
V. farnesiana,C,5.5,6,7,8,9.5,12,15.5,19.5,26,32,35,34.5,31,31,33
R. communis,C,4,5.5,5.5,6.5,7.5,9.5,10.5,10.5,12.5,13,15,15.5,17.5,18,18.5
R. communis,C,4.5,,,,,,,,,,,,,,
R. communis,C,2.5,3.5,3.5,,,,,,,,,,,,
R. communis,C,3,4,4,4.5,5.5,7,8,9,10.5,12,14,14,14,14.5,15.5
R. communis,C,1.5,3,3.5,4.5,4.5,7,7.5,8.5,9.5,11,12.5,13,13,14,15
V. farnesiana,C,2.5,4,5,6.5,8,10.5,13.5,15.5,21.5,26,39,39,39,42,42
V. farnesiana,C,3,6.5,6.5,7,9,11.5,15,18.5,23.5,30.5,37.5,45,46.5,48,49.5
V. farnesiana,C,8,8.5,14,21,28,36,42,46,55,57.5,57,57.5,57.5,57.5,57.5
V. farnesiana,C,4.5,4.5,4.5,5,6.5,8,10.5,13.5,18,22.5,29,36.5,43,43,43
R. communis,C,7.5,6.5,7.5,8.5,8.5,9,9,10,11.5,12,13,14,16,17.5,18
R. communis,C,6,6,6.5,7.5,9,10.5,10.5,12,13.5,15,20,23,23,23,24.5
R. communis,C,4,5.5,6,6.5,7.5,9,9.5,10.5,12,13,16,16,16.5,17.5,18
R. communis,C,3.5,5.5,5.5,7,7.5,9,10.5,12,14,16,22,22,22,22,24.5
R. communis,C,3.5,2.5,3,4.5,6,8,9.5,11,13,14.5,15.5,16,17.5,18,19
V. farnesiana,C,2.5,4.5,5,5,5,7.5,11.5,16.5,19.5,23,29,29,28,28,37
V. farnesiana,C,5.5,6,6.5,7,8.5,10,13.5,17.5,20,24.5,31,31.5,31.5,32,33
V. farnesiana,J,5.5,8,8,9.5,9.5,10.5,10.5,10.5,10.5,10.5,11.5,11.5,10,10,10
R. communis,J,2,3,3,3,4,4,4,5,5,5,6,6,6,6.5,6.5
R. communis,J,2,3,3,3,3.5,3.5,3.5,4,4,4.5,5,5,5,6,6
R. communis,J,2.5,3,3.5,3.5,3.5,3.5,,,,,,,,,
R. communis,J,2,2,2,,,,,,,,,,,,
R. communis,J,4,3.5,3.5,,,,,,,,,,,,
R. communis,J,1,1.5,2.5,,,,,,,,,,,,
V. farnesiana,J,6,7,7,7,7,7,7,7,7,7,6,6,5.5,6,6
V. farnesiana,J,3.5,3.5,3.5,,,,,,,,,,,,
V. farnesiana,J,7,6.5,7,8,8.5,9,9.5,10.5,10.5,11.5,19.5,12,11,11,11.5
